DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
07/01/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00098,,,,,
07/02/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00441,,,,,
07/06/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00180,,,,,
07/07/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00084,,,,,
07/08/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00212,,,,,
07/09/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00711,,,,,
07/10/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00584,,,,,
07/12/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00042,,,,,
07/13/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00448,,,,,
07/14/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00028,,,,,
07/15/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00406,,,,,
07/16/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00505,,,,,
07/17/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00341,,,,,
07/19/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00007,,,,,
07/20/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00552,,,,,
07/21/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00577,,,,,
07/22/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00706,,,,,
07/23/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00027,,,,,
07/24/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00146,,,,,
07/26/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00503,,,,,
07/27/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00421,,,,,
07/28/1926,,,,,,,,,,,,,,,,,,,,,,,,0.01059,,,,,
07/29/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00336,,,,,
07/30/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00153,,,,,
07/31/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00433,,,,,
08/02/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00829,,,,,
08/03/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00477,,,,,
08/04/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00360,,,,,
08/05/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00089,,,,,
08/06/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00671,,,,,
08/07/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00447,,,,,
08/09/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00191,,,,,
08/10/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.01376,,,,,
08/11/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00562,,,,,
08/12/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00818,,,,,
08/13/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00562,,,,,
08/14/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00678,,,,,
08/16/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00061,,,,,
08/17/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00931,,,,,
08/18/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00258,,,,,
08/19/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00600,,,,,
08/20/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00189,,,,,
08/21/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00308,,,,,
08/23/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00457,,,,,
08/24/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00818,,,,,
08/25/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00312,,,,,
08/26/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00507,,,,,
08/27/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00348,,,,,
08/28/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00334,,,,,
08/30/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00326,,,,,
08/31/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00557,,,,,
09/01/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00547,,,,,
09/02/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00059,,,,,
09/03/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00459,,,,,
09/07/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00584,,,,,
09/08/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00490,,,,,
09/09/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00078,,,,,
09/10/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00815,,,,,
09/11/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00426,,,,,
09/13/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00031,,,,,
09/14/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00869,,,,,
09/15/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00202,,,,,
09/16/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00183,,,,,
09/17/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00975,,,,,
09/18/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00686,,,,,
09/20/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00629,,,,,
09/21/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00261,,,,,
09/22/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00097,,,,,
09/23/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00255,,,,,
09/24/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00597,,,,,
09/25/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00202,,,,,
09/27/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00129,,,,,
09/28/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00005,,,,,
09/29/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00298,,,,,
09/30/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00295,,,,,
10/01/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00726,,,,,
10/02/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00096,,,,,
10/04/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.01371,,,,,
10/05/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.01097,,,,,
10/06/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00567,,,,,
10/07/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00748,,,,,
10/08/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00573,,,,,
10/09/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00933,,,,,
10/11/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00678,,,,,
10/13/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00673,,,,,
10/14/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00973,,,,,
10/15/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.01794,,,,,
10/16/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00725,,,,,
10/18/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00683,,,,,
10/19/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.01024,,,,,
10/20/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00259,,,,,
10/21/1926,,,,,,,,,,,,,,,,,,,,,,,,0.01477,,,,,
10/22/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00379,,,,,
10/23/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00534,,,,,
10/25/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00092,,,,,
10/26/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00308,,,,,
10/27/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00983,,,,,
10/28/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00072,,,,,
10/29/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00042,,,,,
10/30/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00228,,,,,
11/01/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00449,,,,,
11/03/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00176,,,,,
11/04/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00577,,,,,
11/05/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00068,,,,,
11/06/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00144,,,,,
11/08/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00485,,,,,
11/09/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00131,,,,,
11/10/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00588,,,,,
11/11/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00634,,,,,
11/12/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00231,,,,,
11/13/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00236,,,,,
11/15/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00361,,,,,
11/16/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00159,,,,,
11/17/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00345,,,,,
11/18/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00469,,,,,
11/19/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00606,,,,,
11/20/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00382,,,,,
11/22/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00547,,,,,
11/23/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00339,,,,,
11/24/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00055,,,,,
11/26/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00172,,,,,
11/27/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00163,,,,,
11/29/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00354,,,,,
11/30/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00248,,,,,
12/01/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00352,,,,,
12/02/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00495,,,,,
12/03/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00309,,,,,
12/04/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00170,,,,,
12/06/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00046,,,,,
12/07/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00042,,,,,
12/08/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00092,,,,,
12/09/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00419,,,,,
12/10/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00339,,,,,
12/11/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00088,,,,,
12/13/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00414,,,,,
12/14/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00095,,,,,
12/15/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00163,,,,,
12/16/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00614,,,,,
12/17/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00885,,,,,
12/18/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00421,,,,,
12/20/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00309,,,,,
12/21/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.00013,,,,,
12/22/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00000,,,,,
12/23/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00281,,,,,
