DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
07/01/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0011,,,,,
07/02/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0037,,,,,
07/06/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0014,,,,,
07/07/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0017,,,,,
07/08/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0030,,,,,
07/09/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0032,,,,,
07/10/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0021,,,,,
07/12/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0013,,,,,
07/13/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0011,,,,,
07/14/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0009,,,,,
07/15/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0052,,,,,
07/16/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0017,,,,,
07/17/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0021,,,,,
07/19/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0010,,,,,
07/20/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0032,,,,,
07/21/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0017,,,,,
07/22/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0017,,,,,
07/23/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0005,,,,,
07/24/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0031,,,,,
07/26/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0025,,,,,
07/27/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,
07/28/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0028,,,,,
07/29/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0074,,,,,
07/30/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0059,,,,,
07/31/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0019,,,,,
08/02/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0011,,,,,
08/03/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0025,,,,,
08/04/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0026,,,,,
08/05/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0015,,,,,
08/06/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0008,,,,,
08/07/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0025,,,,,
08/09/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0015,,,,,
08/10/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0074,,,,,
08/11/1926,,,,,,,,,,,,,,,,,,,,,,,,0.0035,,,,,
08/12/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0094,,,,,
08/13/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0071,,,,,
08/14/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.0006,,,,,
