DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
01/03/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0014,,,,,
01/04/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0009,,,,,
01/05/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0037,,,,,
01/06/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0027,,,,,
01/07/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0020,,,,,
01/08/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0047,,,,,
01/10/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0008,,,,,
01/11/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0048,,,,,
01/12/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,,
01/13/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0033,,,,,
01/14/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0040,,,,,
01/15/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,
01/17/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0026,,,,,
01/18/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0015,,,,,
01/19/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0010,,,,,
01/20/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0054,,,,,
01/21/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0002,,,,,
01/22/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0032,,,,,
01/24/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0038,,,,,
01/25/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0059,,,,,
01/26/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0038,,,,,
01/27/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0038,,,,,
01/28/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0029,,,,,
01/29/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0016,,,,,
01/31/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0006,,,,,
02/01/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0041,,,,,
02/02/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0026,,,,,
02/03/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0037,,,,,
02/04/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0033,,,,,
02/05/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0008,,,,,
02/07/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0008,,,,,
02/08/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0078,,,,,
02/09/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0012,,,,,
02/10/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0011,,,,,
02/11/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,
02/14/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0038,,,,,
02/15/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0016,,,,,
02/16/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0067,,,,,
02/17/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0037,,,,,
02/18/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0077,,,,,
02/19/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0056,,,,,
02/21/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0011,,,,,
02/23/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0026,,,,,
02/24/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0008,,,,,
02/25/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0009,,,,,
02/26/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0005,,,,,
02/28/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,
03/01/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0058,,,,,
03/02/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0005,,,,,
03/03/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0075,,,,,
03/04/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0003,,,,,
03/05/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0009,,,,,
03/07/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0013,,,,,
03/08/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0010,,,,,
03/09/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0050,,,,,
03/10/1927,,,,,,,,,,,,,,,,,,,,,,,,0.0076,,,,,
03/11/1927,,,,,,,,,,,,,,,,,,,,,,,,-0.0020,,,,,
